La Baule Escoubl;LFRE;N47°17'21";W002°20'50"
La Canourgue;;N44°27'10";E003°15'00"
La Celle Guenan;;N46°57'47";E000°55'26"
La Couronne;;N45°36'54";E000°06'18"
La Ferme D E Ul;;N49°04'00";E002°54'00"
La Ferme Des Ul;;N49°10'45";E000°59'52"
La Fert Bernrna;;N48°11'08";E000°38'24"
La Ferte Alais;LFFQ;N48°29'52";E002°20'34"
La Ferte Gaucher;LFFG;N48°45'21";E003°16'34"
La Fleche;LFAL;N47°41'39";E000°00'09"
La Grand Com Gld;LFTN;N44°14'40";E004°00'42"
La Mole;LFTZ;N43°12'23";E006°28'55"
La Montagnen Gld;LFMG;N43°24'27";E001°59'22"
La Motte Chalan;LFJE;N44°29'59";E005°24'10"
La Motte Du Cgld;;N44°19'31";E006°01'51"
La Reole Floudes;LFDR;N44°34'05";W000°03'25"
La Roche Chalais;;N45°08'56";E000°00'26"
La Roche Yon Gld;LFRI;N46°42'09";W001°22'54"
La Rochelle Lale;LFBH;N46°10'45";W001°11'43"
La Romieu Aero;;N43°59'03";E000°29'50"
La Tete Des Cham;;N47°55'08";E006°49'10"
La Tour Du P Gld;LFKP;N45°33'36";E005°23'06"
La Tranche Mer;;N46°21'30";W001°25'30"
Labouheyre;;N44°12'30";W000°55'15"
Lacave Le Fr Ul;;N44°50'19";E001°35'30"
Lagarde Enva Ul;;N45°10'39";E001°48'06"
Lalinde Aerodro;;N44°52'31";E000°44'29"
Lamotte Beuvron;LFFM;N47°39'24";E001°59'19"
Lanans Checked;;N47°18'09";E006°27'12"
Landvisiau;LFRJ;N48°31'49";W004°09'06"
Langesse Prv;;N47°48'27";E002°36'02"
Langogne Lespero;LFHL;N44°42'23";E003°53'16"
Langrois Rol Gld;LFSU;N47°57'51";E005°17'37"
Lannion;LFRO;N48°45'18";W003°28'28"
Lanveoc Poulmic;LFRL;N48°16'57";W004°26'37"
Laon Chambry;LFAF;N49°35'45";E003°37'52"
Lapalisse Perign;LFHX;N46°15'14";E003°35'16"
Lasclaverie Aero;;N43°25'32";W000°17'09"
Laval Entram Gld;LFOV;N48°01'56";W000°44'34"
Le Blanc Gld;LFEL;N46°37'12";E001°05'09"
Le Castellet;LFMQ;N43°15'08";E005°47'10"
Le Caussanel Aer;;N44°12'51";E002°45'48"
Le Chateau L Ul;;N47°18'34";E004°49'10"
Le Fort Aslonnes;;N46°26'24";E000°20'39"
Le Havre Gld;LFOY;N49°32'40";E000°21'37"
Le Havre Octevil;LFOH;N49°32'02";E000°05'17"
Le Luc Le Cannet;LFMC;N43°23'05";E006°23'13"
Le Mans Arna Gld;LFRM;N47°56'55";E000°12'06"
Le Mazet De Roma;LFNZ;N43°46'08";E004°53'35"
Le Mureaux;LFXU;N48°59'54";E001°56'34"
Le Plessis Bellv;LFPP;N49°06'36";E002°44'14"
Le Poteau;;N44°11'05";W000°16'32"
Le Puy En Verlay;LFHP;N45°04'47";E003°45'48"
Le Touquet;LFAT;N50°30'53";E001°37'39"
Le Valdahon Mil;;N47°10'00";E006°21'01"
Lectoure Aero;;N43°55'30";E000°38'32"
Lectoure Prv;;N43°55'29";E000°40'00"
Leguille 270x35;;N43°57'52";E001°33'17"
Lens Benifontain;LFQL;N50°28'01";E002°49'17"
Lepetitboislandr;;N48°23'35";E001°03'17"
Les Chanseves Ae;;N45°05'33";E001°51'12"
Les Sables D Olo;LFOO;N46°28'36";W001°43'25"
Les Salles Aero;;N45°44'00";E000°40'00"
Lesparre St;LFDU;N45°11'52";W000°52'59"
Lessay Gld;LFOM;N49°12'11";W001°30'27"
Levignac De Guye;;N44°37'13";E000°13'53"
Levroux Aero;;N46°57'38";E001°39'40"
Lezignan Corbier;LFMZ;N43°10'33";E002°43'59"
Libourne;LFDI;N44°59'06";W000°08'13"
Ligny Le Ribault;;N47°42'20";E001°46'25"
Lille Lesquin;LFQQ;N50°33'48";E003°05'13"
Lille Marco Gld;LFQO;N50°41'14";E003°04'32"
Limoges Bell Gld;LFBL;N45°51'39";E001°10'49"
Liorac Aerodrom;;N44°55'05";E000°38'27"
Loches 30m Prv;;N47°09'14";E001°00'53"
Lognes Emer;LFPL;N48°49'19";E002°37'22"
Longuyon Villett;LFGS;N49°29'04";E005°34'20"
Lons Le Saunier;LFGL;N46°40'34";E005°28'14"
Lorient;LFRH;N47°45'38";W003°26'24"
Loudun;LFDL;N47°02'10";E000°06'03"
Lucon Chanai Adp;;N46°27'45";W001°14'14"
Luneville Gld;LFQC;N48°35'41";E006°32'34"
Lurcy Levy Prv;LFJU;N46°42'46";E002°56'43"
Lure Malbouhans;LFYL;N47°42'11";E006°32'41"
Luxeuil St Sauve;LFSX;N47°47'14";E006°21'54"
Lyon Brindas;LFKL;N45°42'42";E004°41'50"
Lyon Bron;LFLY;N45°43'46";E004°56'20"
Lyon Corbas Gld;LFHJ;N45°39'15";E004°54'47"
Lyon Satolas;LFLL;N45°43'32";E005°04'52"
Macon Charnay;LFLM;N46°17'45";E004°47'45"
Malapez;;N44°33'12";E005°26'18"
Manet Montane Ae;;N43°20'48";E000°36'37"
Mantes Cherence;LFFC;N49°04'44";E001°41'20"
Marennes Prv;LFJI;N45°49'24";W001°04'47"
Marignane Be Prv;;N43°27'00";E005°13'00"
Marigny Le Gmand;LFYM;N48°39'40";E003°50'13"
Marmande Virazel;LFDM;N44°30'04";E000°11'48"
Marseille Proven;LFML;N43°26'12";E005°12'54"
Maseveaux Ob Ul;;N47°48'11";E006°56'53"
Maslacq Maslacq;;N43°26'44";W000°41'41"
Maubeuge Gld;LFQJ;N50°18'30";E004°01'48"
Mauleon;LFJB;N46°54'14";W000°41'50"
Mazeyrat Langeac;;N45°06'18";E003°30'24"
Meaux Esbly;LFPE;N48°55'37";E002°50'02"
Megeve;LFHM;N45°49'28";E006°38'33"
Mellay Prv;;N48°12'00";E001°38'59"
Melun Villaroche;LFPM;N48°36'19";E002°40'15"
Mende Brenou Gld;LFNB;N44°30'15";E003°31'39"
Meribel;LFKX;N45°24'25";E006°34'48"
Merville Cal Gld;LFQT;N50°37'00";E002°38'25"
Metz Frescaty;LFSF;N49°04'21";E006°07'55"
Metz Nancy Lorr;LFJL;N48°58'42";E006°14'48"
Millau Larzac;LFCM;N43°59'21";E003°11'00"
Mimizan;LFCZ;N44°08'49";W001°09'51"
Mirande Berdoues;;N43°28'14";E000°23'20"
Monaco;LNMC;N43°43'37";E007°25'11"
Monestier De Cle;;N44°55'24";E005°36'54"
Mont Dauphin Cre;LFNC;N44°42'06";E006°35'59"
Mont De Marsan;LFBM;N43°54'41";W000°30'36"
Mont Louis Gld;LFNQ;N42°32'37";E002°07'10"
Mont Sur Meurthe;;N48°31'37";E006°24'24"
Montaigu St;LFFW;N46°55'58";W001°19'35"
Montargis Gld;LFEM;N47°57'38";E002°41'06"
Montauban;LFDB;N44°01'39";E001°22'39"
Montbeliard;LFSM;N47°29'12";E006°47'29"
Montceau Les Min;LFGM;N46°36'15";E004°20'00"
Montdidier;LFAR;N49°40'23";E002°34'06"
Montelimar Ancon;LFLQ;N44°35'01";E004°44'24"
Montendre M;LFDC;N45°16'28";W000°27'11"
Montlucon Gld;LFBK;N46°13'34";E002°21'46"
Montlucon Domera;LFLT;N46°21'13";E002°34'17"
Montmedy Marvill;LFYK;N49°27'15";E005°25'32"
Montpellier Cand;LFNG;N43°36'37";E004°04'11"
Montpellier1 Med;LFMT;N43°35'00";E003°57'41"
Montpezat D Agen;;N44°21'56";E000°29'32"
Montreuil Bellay;;N47°06'56";W000°06'20"
Montrichrd Prv;;N47°20'08";E001°12'14"
Montsurs;;N48°07'24";W000°33'52"
Morestel Gld;LFHI;N45°41'16";E005°27'11"
Moret Episy;LFPU;N48°20'31";E002°47'56"
Morlaix Ploujean;LFRU;N48°36'03";W003°49'00"
Mortagne Au Perc;LFAX;N48°32'25";E000°31'59"
Moulins Mont Gld;LFHY;N46°32'04";E003°25'18"
Mourmelon;LFXM;N49°06'41";E004°22'01"
Moussoulens;;N43°17'01";E002°12'58"
Mouy Ul;;N49°19'00";E002°17'56"
Mt St Michel;;N48°36'11";W001°33'10"
Mulhouse Hab Gld;LFGB;N47°44'28";E007°25'57"
Muret Lherm;LFBR;N43°26'57";E001°15'49"
Nancy Azelot;LFEX;N48°35'31";E006°14'23"
Nancy Essey;LFSN;N48°41'32";E006°13'34"
Nancy Malzev Gld;LFEZ;N48°43'25";E006°12'23"
Nancy Ochey Mil;LFSO;N48°34'59";E005°57'16"
Nangis Les Loges;LFAI;N48°35'45";E003°00'49"
Nantes Atlan Gld;LFRS;N47°09'26";W001°36'28"
Narbonne Prv;;N43°11'30";E003°02'59"
Negrepelisse X22;;N44°03'22";E001°33'03"
Neufchateau Rouc;LFFT;N48°21'45";E005°43'15"
Nevers Gld;LFQG;N47°00'13";E003°06'39"
Nice Cote D Azur;LFMN;N43°39'55";E007°12'54"
Nimes Courbessac;LFME;N43°51'11";E004°24'52"
Nimes Garons Nav;LFTW;N43°45'27";E004°24'59"
Niort Souche Gld;LFBN;N46°18'48";W000°23'40"
Nogaro Gld;LFCN;N43°46'11";W000°02'01"
Noirterre;;N46°53'38";W000°25'06"
Nossage Le Prio;;N44°18'45";E005°44'41"
Nuits St Georges;LFGZ;N47°08'35";E004°58'07"
Oloron Herre Gld;LFCO;N43°09'53";W000°33'40"
Onzain Prv 30m;;N47°31'28";E001°10'53"
Orange Caritat;LFMO;N44°08'24";E004°52'07"
Orange Plan De D;;N44°12'00";E004°57'00"
Orbigny1;;N47°13'17";E001°17'08"
Orbigny2;;N47°13'22";E001°17'21"
Orleans Bricy;LFOJ;N47°59'16";E001°45'38"
Orleans Deni Gld;LFOZ;N47°53'51";E002°09'51"
Ouessant;LFEC;N48°27'51";W005°03'44"
Oyonnax Arbent;LFLK;N46°16'45";E005°40'01"
Pamiers Les Pujo;LFDJ;N43°05'26";E001°41'45"
Paray Le Mon Gld;LFGN;N46°28'04";E004°08'04"
Paris Cdg;LFPG;N49°00'35";E002°32'52"
Paris Issy;LFPI;N48°50'03";E002°16'27"
Paris Le Bourget;LFPB;N48°58'10";E002°26'30"
Paris Orly;LFPO;N48°43'24";E002°22'46"
Pau Pyrenees;LFBP;N43°22'48";W000°25'07"
Perigueux Gld;LFBX;N45°11'51";E000°48'55"
Peronne St Q;LFAG;N49°52'08";E003°01'47"
Perouges Me;LFHC;N45°52'11";E005°11'12"
Perpignan Rivesa;LFMP;N42°44'27";E002°52'11"
Persan Beaumont;LFPA;N49°09'54";E002°18'42"
Peyrelevade Aero;;N45°42'29";E002°01'54"
Peyresourde Ba;LFIP;N42°47'49";E000°26'05"
Peyrillac Prv;;N44°53'08";E001°25'23"
Pezenas Niza Gld;LFNP;N43°30'21";E003°24'47"
Phalsbourg;LFQP;N48°46'05";E007°12'18"
Pierrelatte Gld;LFHD;N44°23'56";E004°43'03"
