Hilzingen;;N47°45'37'';E008°46'03''
Hirzenhain;EDFI;N50°47'18'';E008°23'34''
Hirzenhain Nordwe;;N50°48'08'';E008°22'38''
Hockenheim;EDFX;N49°19'31'';E008°31'42''
Hodenhagen;EDVH;N52°45'45'';E009°36'30''
Hof;EDQM;N50°17'20'';E011°51'18''
Hof Altona;EDXT;N54°04'04'';E010°44'35''
Hoffeld;;N48°25'17'';E010°09'06''
Hohenfels;ETIH;N49°13'00'';E011°50'12''
Hoherodskopf;;N50°29'56'';E009°12'56''
Hohn;ETNH;N54°18'40'';E009°32'18''
Hölleberg;EDVL;N51°36'40'';E009°23'51''
Holtorfsloh;;N53°19'20'';E010°04'27''
Holzdorf;ETSH;N51°46'02'';E013°10'01''
Homberg Ohm;;N50°44'50'';E009°01'11''
Höpen;;N53°08'51'';E009°47'46''
Hoppstädtn Weier;EDRH;N49°36'40'';E007°11'06''
Hopsten Mil;ETNP;N52°20'23'';E007°32'33''
Hörbach;;N50°40'14'';E008°13'22''
Hornberg;;N48°44'44'';E009°51'46''
Höxter Holzminde;EDVI;N51°48'24'';E009°22'42''
Hoya;;N52°48'39'';E009°09'26''
Huhnrain As;;N50°29'24'';E009°50'42''
Hülben;;N48°31'47'';E009°23'57''
Hünsborn;EDKH;N50°55'44'';E007°53'56''
Husum;EDXJ;N54°30'56'';E009°08'43''
Hütten Hotzenwld;;N47°38'02'';E007°56'28''
Hüttenbusch;EDXU;N53°17'11'';E008°56'50''
Idar Oberstein;EDRG;N49°43'58'';E007°20'16''
Illertissen;EDMI;N48°14'06'';E010°08'15''
Illesheim Mil;;N49°28'26'';E010°23'19''
In Den Leinewiese;;N52°09'47'';E009°46'11''
Ingelfingen Bühl;EDGI;N49°19'16'';E009°39'22''
Ingolstadt;ETSI;N48°42'56'';E011°32'01''
Irsingen;;N49°02'19'';E010°30'12''
Iserlohn Rheinerm;;N51°25'45'';E007°38'36''
Iserlohn Sümmern;;N51°26'12'';E007°41'59''
Isny Rotmoos;;N47°42'03'';E010°01'18''
Ithwiesen;;N51°57'08'';E009°39'41''
Itzehoe Hungriger Wolf;EDHF;N53°59'37'';E009°34'43''
Jagel Schleswig;ETNS;N54°27'30'';E009°30'58''
Jena Schöngleina;EDBJ;N50°54'50'';E011°42'45''
Jesenwang;EDMJ;N48°10'28'';E011°07'30''
Jever;ETNJ;N53°31'57'';E007°53'21''
Johannisau;;N50°31'56'';E009°39'26''
Juist;EDWJ;N53°40'50'';E007°03'28''
Kamen Heeren;;N51°35'23'';E007°42'32''
Kamenz;EDCM;N51°17'46'';E014°07'40''
Kammermark;;N53°11'42'';E012°09'55''
Kamp Lintfort;EDLC;N51°31'44'';E006°32'10''
Karlshöfen;EDWK;N53°19'57'';E009°01'40''
Karlsruhe/Baden-Baden;EDSB;N48°46'43'';E008°04'47''
Rheinstetten;;N48°58'47'';E008°19'52''
Karlstadt Saupurz;;N49°58'16'';E009°47'26''
Kassel Calden;EDVK;N51°24'24'';E009°22'27''
Kaufbeuren;;N47°51'44'';E010°36'53''
Kehl Sundheim;EDSK;N48°33'31'';E007°51'01''
Kell;;N49°37'20'';E006°50'29''
Kempten Durach;EDMK;N47°41'34'';E010°20'18''
Kiel Holtenau;EDHK;N54°22'47'';E010°08'42''
Kippenheim;;N48°19'07'';E007°49'47''
Kirchdorf Inn;EDNK;N48°14'19'';E012°58'36''
Kirchzarten;;N47°57'06'';E007°57'21''
Kirn;;N49°46'56'';E007°30'47''
Kitzingen;ETIN;N49°44'36'';E010°12'12''
Klein Mühlingen;EDOM;N51°56'40'';E011°46'47''
Kleve Wisseler Du;;N51°45'58'';E006°17'57''
