Stapleford;EGSG;N51°39'09";E000°09'21"
Stornoway;EGPO;N58°12'56";W006°19'52"
Strathallan;;N56°20'00";W003°45'05"
Strathaven Gld;;N55°40'46";W004°06'20"
Stronsay;EGER;N59°09'19";W002°38'29"
Strubby Gld;;N53°18'27";E000°10'03"
Sturgate;EGCS;N53°22'52";W000°41'07"
Sumburgh;EGPB;N59°52'44";W001°17'44"
Sutton Bank Gld;;N54°13'44";W001°12'35"
Swansea;EGFH;N51°36'19";W004°04'04"
Swinderby;EGXS;N53°09'01";W000°41'05"
Syerston Runway;;N53°01'29";W000°54'26"
Talgarth Gld;;N51°58'46";W003°12'22"
Tatenhill Gld;EGBM;N52°48'53";W001°45'40"
Templeton Gld;;N51°45'49";W004°45'18"
Ternhill;EGOE;N52°52'16";W002°32'01"
Thruxton Gld;EGHO;N51°12'38";W001°36'00"
Thurrock;;N51°32'02";E000°21'55"
Tibenham Gld;;N52°27'27";E001°09'42"
Tilstock;;N52°56'02";W002°39'05"
Tiree;EGPU;N56°29'57";W006°52'09"
Topcliffe;EGXZ;N54°12'20";W001°22'55"
Truro;EGHY;N50°16'43";W005°08'33"
Turweston Gld;EGBT;N52°02'27";W001°05'44"
Upavon;EGDJ;N51°17'10";W001°46'55"
Upper Heyford;EGUA;N51°56'02";W001°15'05"
Upwood Gld;;N52°26'18";W000°07'54"
Usk Gld Club Gld;;N51°43'04";W002°50'47"
Valley;EGOV;N53°14'53";W004°32'07"
Waddington;EGXW;N53°09'58";W000°31'26"
Waldershr Gld;;N51°10'19";E001°16'34"
Warton;EGNO;N53°44'42";W002°52'59"
Wattisham;EGUW;N52°07'38";E000°57'23"
Watton Rw W End;;N52°33'51";E000°50'56"
Wellesbourne;EGBW;N52°11'32";W001°36'52"
Welshpool;EGCW;N52°37'46";W003°09'09"
West Freugh;EGOY;N54°51'04";W004°56'52"
West Malling;EGKM;N51°16'13";E000°24'20"
West Wales Aberp;EGFA;N52°06'55";W004°33'25"
Weston Green Gld;;N51°52'50";W001°13'11"
Westray;EGEW;N59°21'01";W002°57'00"
Whalsay;EGEH;N60°22'37";W000°55'32"
White Waltham;EGLM;N51°30'03";W000°46'28"
Wick;EGPC;N58°27'32";W003°05'35"
Wickenby;EGNW;N53°19'01";W000°20'56"
Wigtown Baldoon;;N54°50'57";W004°27'02"
Wittering;EGXT;N52°36'45";W000°28'36"
Wolverhampton U;EGBO;N52°31'03";W002°15'34"
Woodbridge;EGVG;N52°05'02";E001°23'55"
Woodvale Gb;EGOW;N53°34'53";W003°03'20"
Wormingford Gld;;N51°56'39";E000°48'12"
Wroughton;EGDT;N51°30'33";W001°47'59"
Wycombe Booker;EGTB;N51°36'42";W000°48'30"
Wyton;EGUY;N52°21'26";W000°06'28"
Yeovil Westland;EGHG;N50°56'24";W002°39'31"
Yeovilton;EGDY;N51°00'34";W002°38'20"
York Acaster;;N53°52'44";W001°07'26"
